group	fill
1	#A59BCE
2	#ABA2D1
3	#B1A8D5
4	#B8AFD8
5	#BEB6DC
6	#C4BDDF
7	#CAC4E2
8	#D1CBE6
9	#D7D2E9
10	#DDD9ED
11	#E4E0F0
12	#EAE7F4
13	#F0EEF7
14	#F6F5FA
15	#FDFCFE
16	#FFFBF9
17	#FFF5F1
18	#FFEEE8
19	#FFE8E0
20	#FFE2D7
21	#FFDBCF
22	#FFD5C6
23	#FFCEBE
24	#FFC8B5
25	#FFC1AD
26	#FFBBA5
27	#FFB49D
28	#FFAE94
29	#FFA78C
30	#FFA184
31	#A298CC
32	#A89ED0
33	#AEA5D3
34	#B4ACD6
35	#BBB2DA
36	#C1B9DD
37	#C7C0E1
38	#CDC7E4
39	#D4CEE7
40	#DAD5EB
41	#E0DCEE
42	#E6E3F2
43	#EDEAF5
44	#F3F1F8
45	#F9F8FC
46	#FFFEFE
47	#FFF8F5
48	#FFF2ED
49	#FFEBE4
50	#FFE5DC
51	#FFDFD3
52	#FFD8CB
53	#FFD2C2
54	#FFCBBA
55	#FFC5B2
56	#FFBFA9
57	#FFB8A1
58	#FFB199
59	#FFAB91
60	#FFA489
61	#9E94CA
62	#A49BCE
63	#ABA1D1
64	#B1A8D5
65	#B7AFD8
66	#BDB5DB
67	#C4BCDF
68	#CAC3E2
69	#D0CAE6
70	#D7D1E9
71	#DDD8EC
72	#E3DFF0
73	#E9E6F3
74	#F0EDF7
75	#F6F5FA
76	#FCFCFD
77	#FFFCFA
78	#FFF5F1
79	#FFEFE9
80	#FFE8E0
81	#FFE2D8
82	#FFDCCF
83	#FFD5C7
84	#FFCFBE
85	#FFC8B6
86	#FFC2AE
87	#FFBCA5
88	#FFB59D
89	#FFAE95
90	#FFA88D
91	#9B90C8
92	#A197CC
93	#A79ECF
94	#AEA4D3
95	#B4ABD6
96	#BAB2D9
97	#C0B9DD
98	#C7BFE0
99	#CDC6E4
100	#D3CDE7
101	#D9D4EB
102	#E0DBEE
103	#E6E2F1
104	#ECEAF5
105	#F2F1F8
106	#F9F8FC
107	#FFFFFF
108	#FFF9F6
109	#FFF2EE
110	#FFECE5
111	#FFE6DC
112	#FFDFD4
113	#FFD9CB
114	#FFD2C3
115	#FFCCBB
116	#FFC6B2
117	#FFBFAA
118	#FFB9A2
119	#FFB29A
120	#FFAB91
121	#978DC7
122	#9E93CA
123	#A49ACD
124	#AAA1D1
125	#B0A7D4
126	#B7AED8
127	#BDB5DB
128	#C3BCDE
129	#C9C3E2
130	#D0CAE5
131	#D6D1E9
132	#DCD8EC
133	#E3DFF0
134	#E9E6F3
135	#EFEDF6
136	#F5F4FA
137	#FCFBFD
138	#FFFCFB
139	#FFF6F2
140	#FFEFEA
141	#FFE9E1
142	#FFE3D8
143	#FFDCD0
144	#FFD6C7
145	#FFCFBF
146	#FFC9B7
147	#FFC3AE
148	#FFBCA6
149	#FFB69E
150	#FFAF96
151	#9489C5
152	#9A90C8
153	#A096CC
154	#A79DCF
155	#ADA4D2
156	#B3AAD6
157	#BAB1D9
158	#C0B8DD
159	#C6BFE0
160	#CCC6E3
161	#D3CDE7
162	#D9D4EA
163	#DFDBEE
164	#E5E2F1
165	#ECE9F5
166	#F2F0F8
167	#F8F7FB
168	#FFFEFF
169	#FFF9F7
170	#FFF3EE
171	#FFECE6
172	#FFE6DD
173	#FFE0D4
174	#FFD9CC
175	#FFD3C4
176	#FFCCBB
177	#FFC6B3
178	#FFC0AB
179	#FFB9A2
180	#FFB39A
181	#9086C3
182	#978CC6
183	#9D93CA
184	#A39ACD
185	#AAA0D1
186	#B0A7D4
187	#B6AED7
188	#BCB4DB
189	#C3BBDE
190	#C9C2E2
191	#CFC9E5
192	#D5D0E8
193	#DCD7EC
194	#E2DEEF
195	#E8E5F3
196	#EFECF6
197	#F5F3FA
198	#FBFBFD
199	#FFFDFC
200	#FFF6F3
201	#FFF0EA
202	#FFE9E2
203	#FFE3D9
204	#FFDDD1
205	#FFD6C8
206	#FFD0C0
207	#FFCAB7
208	#FFC3AF
209	#FFBDA7
210	#FFB69F
211	#8D82C1
212	#9389C4
213	#9A8FC8
214	#A096CB
215	#A69DCF
216	#ADA3D2
217	#B3AAD6
218	#B9B1D9
219	#BFB8DC
220	#C6BEE0
221	#CCC5E3
222	#D2CCE7
223	#D8D3EA
224	#DFDAED
225	#E5E1F1
226	#EBE8F4
227	#F1F0F8
228	#F8F7FB
229	#FEFEFE
230	#FFFAF8
231	#FFF3EF
232	#FFEDE6
233	#FFE7DE
234	#FFE0D5
235	#FFDACD
236	#FFD3C4
237	#FFCDBC
238	#FFC7B4
239	#FFC0AB
240	#FFBAA3
241	#8A7FBF
242	#9085C3
243	#968CC6
244	#9D92C9
245	#A399CD
246	#A9A0D0
247	#AFA6D4
248	#B6ADD7
249	#BCB4DB
250	#C2BBDE
251	#C8C2E1
252	#CFC8E5
253	#D5CFE8
254	#DBD6EC
255	#E2DDEF
256	#E8E5F2
257	#EEECF6
258	#F4F3F9
259	#FBFAFD
260	#FFFDFC
261	#FFF7F4
262	#FFF0EB
263	#FFEAE2
264	#FFE4DA
265	#FFDDD1
266	#FFD7C9
267	#FFD0C0
268	#FFCAB8
269	#FFC4B0
270	#FFBDA7
271	#867BBD
272	#8C82C1
273	#9388C4
274	#998FC8
275	#9F95CB
276	#A69CCE
277	#ACA3D2
278	#B2A9D5
279	#B9B0D9
280	#BFB7DC
281	#C5BEE0
282	#CBC5E3
283	#D2CCE6
284	#D8D3EA
285	#DEDAED
286	#E4E1F1
287	#EBE8F4
288	#F1EFF7
289	#F7F6FB
290	#FEFDFE
291	#FFFAF8
292	#FFF4F0
293	#FFEDE7
294	#FFE7DE
